Nome,Adicionado em,Ano,Classificação,Filmes Ligados,Gêneros,ID,Minutagem,Prioridade,Próximos Filmes,Status,Título Original
500 Days of Summer,5 de setembro de 2024 18:01,2009,"9,2",,"Drama, Romance",1,,No,No,Concluído,(500) Days of Summer
A História de um Casamento,5 de setembro de 2024 18:01,2019,"4,5",,"Comédia, Romance",3,,No,No,Concluído,Marriage Story
A Garota Ideal,5 de setembro de 2024 18:10,2007,"8,8",,"Comédia, Romance",5,,No,No,Concluído,Lars and the Real Girl
Amnésia,5 de setembro de 2024 18:10,2000,10,,"Crime, Thriller",7,,No,No,Concluído,Memento
Antes do Amanhecer,5 de setembro de 2024 18:10,1995,"9,5",Trilogia Antes,"Comédia, Romance",8,,No,No,Concluído,Before Sunrise
Bastardos Inglórios,5 de setembro de 2024 18:10,2009,"9,6",Quentin Tarantino,"Aventura, Guerra",10,,No,No,Concluído,Inglourious Basterds
Cães de Aluguel,5 de setembro de 2024 18:10,1992,9,Quentin Tarantino,"Crime, Thriller",11,,No,No,Concluído,Reservoir Dogs
Corações de Ferro,5 de setembro de 2024 18:10,2014,"7,5",,"Ação, Guerra",13,,No,No,Concluído,Fury
Corpo Fechado,5 de setembro de 2024 18:10,2000,"9,1",Trilogia Corpo Fechado,"Ficção científica, Thriller",14,,No,No,Concluído,Unbreakable
Corra,5 de setembro de 2024 18:10,2017,"8,9",,"Comédia, Terror",15,,No,No,Concluído,Get Out
Duna 2,5 de setembro de 2024 18:10,2024,"9,9",,"Aventura, Ficção científica",17,,No,No,Concluído,Dune: Part Two
Django Livre ,5 de setembro de 2024 18:10,2012,10,Quentin Tarantino,"Ação, Faroeste",18,,No,No,Concluído,Django Unchained
Dois Caras Legais,5 de setembro de 2024 18:17,2016,"7,4",,"Ação, Comédia",19,,No,No,Concluído,The Nice Guys
Era Uma Vez em Hollywood,5 de setembro de 2024 18:17,2019,"8,3",Quentin Tarantino,"Comédia, Faroeste",21,,No,No,Concluído,Once Upon a Time in Hollywood
Equilibrium,5 de setembro de 2024 18:17,2002,"9,1",,"Ação, Ficção científica",22,,No,No,Concluído,Equilibrium
Forrest Gump,5 de setembro de 2024 18:17,1994,6,,"Comédia, Romance",25,,No,No,Concluído,Forrest Gump
Fragmentado,5 de setembro de 2024 18:17,2016,"8,1",Trilogia Corpo Fechado,"Mistério, Terror",27,,No,No,Concluído,Split
Gênio Indomável,5 de setembro de 2024 18:17,1997,"9,3",,"Drama, Romance",28,,No,No,Concluído,Good Will Hunting
Gladiador,5 de setembro de 2024 18:17,2000,"9,6",,"Aventura, Ação",29,,No,No,Concluído,Gladiator
Inception,5 de setembro de 2024 18:17,2010,"8,6",,"Ação, Ficção científica",31,,No,No,Concluído,Inception
Ilha do Medo,5 de setembro de 2024 18:17,2010,"9,5",,"Mistério, Thriller",34,,No,No,Concluído,Shutter Island
Kill Bill ,5 de setembro de 2024 18:17,2003,"9,1",Quentin Tarantino,"Ação, Thriller",35,,No,No,Concluído,Kill Bill: Vol. 1
La La Land,5 de setembro de 2024 18:17,2016,"8,5",,"Musical, Romance",36,,No,No,Concluído,La La Land
Logan,5 de setembro de 2024 18:17,2017,"9,1",,"Ação, Ficção científica",37,,No,No,Concluído,Logan
Nascido para Matar,5 de setembro de 2024 18:20,1987,"8,9",,"Ação, Guerra",40,,No,No,Concluído,Full Metal Jacket
O Show de Truman,5 de setembro de 2024 18:20,1998,9,,"Comédia, Ficção científica",42,,No,No,Concluído,The Truman Show
O Abutre,5 de setembro de 2024 18:20,2014,8,,"Crime, Thriller",44,,No,No,Concluído,Nightcrawler
O Poderoso Chefão,5 de setembro de 2024 18:20,1972,"9,2",,"Ação, Crime",48,,No,No,Concluído,The Godfather
Os Oito Odiados,5 de setembro de 2024 18:20,2015,"9,8",Quentin Tarantino,"Faroeste, Thriller",50,,No,No,Concluído,The Hateful Eight
Os Suspeitos,5 de setembro de 2024 18:20,2013,"9,2",,"Crime, Thriller",56,,No,No,Concluído,Prisoners
Pulp Fiction: Tempo de Violência,5 de setembro de 2024 18:20,1994,"9,5",Quentin Tarantino,"Crime, Thriller",59,,No,No,Concluído,Pulp Fiction
Se7en - Os Sete Crimes Capitais,5 de setembro de 2024 18:20,1995,"9,5",,"Crime, Terror",65,,No,No,Concluído,Seven
Tempo de Gloria,5 de setembro de 2024 18:20,1989,"9,5",,"Drama, Guerra",70,,No,No,Concluído,Glory
Vidro ,5 de setembro de 2024 18:20,2019,"7,4",Trilogia Corpo Fechado,"Fantasia, Terror",74,,No,No,Concluído,Glass
Beleza Americana,5 de setembro de 2024 18:20,1999,"9,2",,"Comédia, Romance",75,,No,No,Concluído,American Beauty
Sociedade dos Poetas Mortos,11 de setembro de 2024 20:27,1989,"8,9",,"Comédia, Drama",81,,No,No,Concluído,Dead Poets Society
Namorados para Sempre,11 de setembro de 2024 22:10,2010,6,,"Drama, Romance",82,,No,No,Concluído,Blue Valentine
Kill Bill 2,19 de setembro de 2024 17:53,2004,"8,5",Quentin Tarantino,"Ação, Thriller",84,,No,No,Concluído,Kill Bill: Vol. 2
Adoráveis Mulheres,19 de setembro de 2024 22:10,2019,"9,8",,"Drama, Romance",85,,No,No,Concluído,Little Women
Diário de uma Paixão,20 de setembro de 2024 16:34,2004,"9,1",,"Drama, Romance",86,,No,No,Concluído,The Notebook
Cidade de Deus,21 de setembro de 2024 15:57,2002,"8,7",,"Ação, Drama",89,,No,No,Concluído,City of God
Prenda-Me se for Capaz,21 de setembro de 2024 16:09,2002,9,,"Ação, Drama",90,,No,No,Concluído,Catch Me If You Can
O Túmulo dos Vagalumes,28 de setembro de 2024 17:56,1988,"9,8",Studio Ghibli,"Drama, Guerra",94,,No,No,Concluído,Grave of the Fireflies
O Menino e a Garça,12 de outubro de 2024 19:26,2023,"9,2",Studio Ghibli,"Aventura, Fantasia",96,,No,No,Concluído,The Boy and the Heron
10 Coisas que Eu Odeio em Você,15 de novembro de 2024 13:42,1999,"8,1",,"Comédia, Romance",102,,No,No,Concluído,10 Things I Hate About You
Por Lugares Incriveis,26 de novembro de 2024 13:44,2020,"7,5",,"Drama, Romance",103,,No,No,Concluído,All the Bright Places
Antes do Pôr do Sol,26 de novembro de 2024 13:45,2004,"8,5",Trilogia Antes,"Drama, Romance",104,,No,No,Concluído,Before Sunset
Show de Vizinha,26 de novembro de 2024 13:48,2004,8,,"Comédia, Romance",106,,No,No,Concluído,The Girl Next Door
Gladiador 2,4 de dezembro de 2024 10:30,2024,"8,5",,"Aventura, Ação",107,,No,No,Concluído,Gladiator II
O Castelo Animado,4 de dezembro de 2024 18:19,2004,"9,7",Studio Ghibli,"Fantasia, Romance",108,,No,No,Concluído,Howl's Moving Castle
Contos de Terramar,4 de dezembro de 2024 18:21,2006,"8,5",Studio Ghibli,"Fantasia, Romance",109,,No,No,Concluído,Tales from Earthsea
Porco Rosso,4 de dezembro de 2024 18:23,1992,"9,4",Studio Ghibli,"Fantasia, Guerra",110,,No,No,Concluído,Porco Rosso
O Castelo no Céu,4 de dezembro de 2024 18:25,1986,"9,9",Studio Ghibli,"Fantasia, Romance",111,,No,No,Concluído,Castle in the Sky
O Mundo dos Pequeninos,5 de dezembro de 2024 11:44,2010,"9,3",Studio Ghibli,"Aventura, Fantasia",112,,No,No,Concluído,The Secret World of Arrietty
O Serviço de Entregas da Kiki,6 de dezembro de 2024 13:03,1989,"9,2",Studio Ghibli,"Aventura, Fantasia",113,,No,No,Concluído,Kiki's Delivery Service
Tropa de Elite,9 de dezembro de 2024 23:45,2007,"8,8",,"Ação, Crime",114,,No,No,Concluído,Elite Squad
O Reino dos Gatos,9 de dezembro de 2024 23:45,2002,9,Studio Ghibli,"Aventura, Fantasia",115,,No,No,Concluído,The Cat Returns
Sussurros do Coração ,12 de dezembro de 2024 11:46,1995,"9,3",Studio Ghibli,"Fantasia, Romance",116,,No,No,Concluído,Whisper of the Heart
Tropa de Elite 2,12 de dezembro de 2024 18:48,2010,8,,"Ação, Crime",117,,No,No,Concluído,Elite Squad 2: The Enemy Within
De Olhos Bem Fechados,19 de dezembro de 2024 20:15,1999,"8,7",,"Mistério, Thriller",118,,No,No,Concluído,Eyes Wide Shut
O Grinch,25 de dezembro de 2024 22:14,2000,"9,1",,"Comédia, Fantasia",119,,No,No,Concluído,How the Grinch Stole Christmas
Klaus,25 de dezembro de 2024 22:15,2019,"9,3",,"Aventura, Comédia",120,,No,No,Concluído,Klaus
Os Suspeitos,4 de fevereiro de 2025 10:56,1995,"9,8",,"Crime, Thriller",123,,No,No,Concluído,The Usual Suspects
Nada de Novo no Front,4 de fevereiro de 2025 10:56,2022,"8,8",,"Ação, Guerra",124,,No,No,Concluído,All Quiet on the Western Front
Onze Homens e um Segredo,14 de abril de 2025 10:37,2001,"9,1",,"Ação, Thriller",125,,No,No,Concluído,Ocean's Eleven
PomPoko,14 de abril de 2025 10:43,1994,"9,2",Studio Ghibli,"Aventura, Fantasia",126,,No,No,Concluído,Pom Poko
Parasita,14 de abril de 2025 11:14,2019,9,,"Ação, Terror",128,,No,No,Concluído,Parasite
Fuga de Alcatraz,21 de abril de 2025 08:47,1979,"8,3",,"Ação, Crime",131,,No,No,Concluído,Escape from Alcatraz
Vidas as vento,30 de abril de 2025 22:18,2013,10,Studio Ghibli,"Guerra, Romance",133,,No,No,Concluído,The Wind Rises
Ela,15 de junho de 2025 19:13,2013,9,,"Ficção científica, Romance",136,,No,No,Concluído,Her
O Culpado,6 de julho de 2025 16:48,2021,"8,2",,"Crime, Suspense",137,,No,No,Concluído,The Guilty
Nefarius,6 de julho de 2025 16:48,2023,8,,"Drama, Terror",138,,No,No,Concluído,Nefarious
Harakiri,6 de julho de 2025 16:53,1962,10,,"Ação, Mistério",139,,No,No,Concluído,Harakiri
Rocky Um Lutador,11 de julho de 2025 08:35,1976,"8,8",Rocky,"Ação, Esporte",140,,No,No,Concluído,Rocky
Amor de Aluguel,8 de agosto de 2025 09:32,2003,"8,8",,"Comédia, Romance",144,,No,No,Concluído,Love Don't Cost a Thing
Tenet,21 de agosto de 2025 09:09,2020,"8,6",,"Ação, Ficção científica",148,,No,No,Concluído,Tenet
Scarface,2 de setembro de 2025 17:36,1983,8,,"Crime, Thriller",149,,No,No,Concluído,Scarface
Meu amigo Totoro,2 de setembro de 2025 20:08,1988,"9,5",Studio Ghibli,"Aventura, Fantasia",150,,No,No,Concluído,My Neighbor Totoro
Ponyo,9 de novembro de 2025 22:25,2008,"9,6",Studio Ghibli,"Aventura, Romance",151,,No,No,Concluído,Ponyo
Sonic 3,30 de novembro de 2025 22:54,2024,"9,4",,"Aventura, Comédia",152,,No,No,Concluído,Sonic the Hedgehog 3
Sete Homens e um Destino,30 de novembro de 2025 22:54,2016,"8,4",,"Aventura, Ação",153,,No,No,Concluído,The Magnificent Seven
A Hora do Rush,18 de março de 2026 22:16,1998,"8,4",,"Ação, Comédia",156,,No,No,Concluído,Rush Hour
Dias Perfeitos,30 de março de 2026 11:41,2023,"9,5",,"Drama, Romance",157,,No,No,Concluído,Perfect Days
Quebrando a Banca,26 de maio de 2026 20:51,2008,8,,"Ação, Crime",160,,No,No,Concluído,21
O Hobbit 1,26 de maio de 2026 20:54,2012,9,Trilogia Senhor dos Anéis,"Aventura, Ação",162,,No,No,Concluído,The Hobbit: An Unexpected Journey
As Memorias de Marnie,29 de maio de 2026 23:34,2014,"9,3",Studio Ghibli,"Aventura, Fantasia",163,,No,No,Concluído,When Marnie Was There
Nausica do Vale do Vento,29 de maio de 2026 23:41,1984,"9,4",Studio Ghibli,"Aventura, Fantasia",164,,No,No,Concluído,Nausicaä of the Valley of the Wind
A Odisseia,4 de agosto de 2026 23:22,2026,"9,4",,"Aventura, Ação",165,,No,No,Concluído,The Odyssey
O Hobbit 2,4 de agosto de 2026 23:22,2013,"9,1",,"Aventura, Ação",166,,No,No,Concluído,The Hobbit: The Desolation of Smaug
O Hobbit 3,4 de agosto de 2026 23:22,2014,9,,"Aventura, Ação",167,,No,No,Concluído,The Hobbit: The Battle of the Five Armies
