Nome,Adicionado em,Ano,Classificação,Filmes Ligados,Gêneros,ID,Minutagem,Prioridade,Próximos Filmes,Status
500 Days of Summer,5 de setembro de 2024 18:01,2009,"9,2",,"Drama, Romance",1,,No,No,Concluído
A Coisa,5 de setembro de 2024 18:01,2011,,,"Ficção científica, Terror",2,,No,No,Não iniciada
A História de um Casamento,5 de setembro de 2024 18:01,2019,"4,5",,"Comédia, Romance",3,,No,No,Concluído
A Garota Ideal,5 de setembro de 2024 18:10,2007,"8,8",,"Comédia, Romance",5,,No,No,Concluído
A Vida é Bela,5 de setembro de 2024 18:10,1997,,,"Comédia, Guerra",6,,No,No,Não iniciada
Amnésia,5 de setembro de 2024 18:10,2000,10,,"Crime, Thriller",7,,No,No,Concluído
Antes do Amanhecer,5 de setembro de 2024 18:10,1995,"9,5",Trilogia Antes,"Comédia, Romance",8,,No,No,Concluído
Advogado do Diabo,5 de setembro de 2024 18:10,1997,,,"Fantasia, Terror",9,,No,No,Não iniciada
Bastardos Inglórios,5 de setembro de 2024 18:10,2009,"9,6",Quentin Tarantino,"Aventura, Guerra",10,,No,No,Concluído
Cães de Aluguel,5 de setembro de 2024 18:10,1992,9,Quentin Tarantino,"Crime, Thriller",11,,No,No,Concluído
Circulo de Fogo,5 de setembro de 2024 18:10,2013,,,"Ação, Ficção científica",12,,No,No,Não iniciada
Corações de Ferro,5 de setembro de 2024 18:10,2014,"7,5",,"Ação, Guerra",13,,No,No,Concluído
Corpo Fechado,5 de setembro de 2024 18:10,2000,"9,1",Trilogia Corpo Fechado,"Ficção científica, Thriller",14,,No,No,Concluído
Corra,5 de setembro de 2024 18:10,2017,"8,9",,"Comédia, Terror",15,,No,No,Concluído
De Volta para o Futuro,5 de setembro de 2024 18:10,1985,,,"Aventura, Ficção científica",16,,No,No,Não iniciada
Duna 2,5 de setembro de 2024 18:10,2024,"9,9",,"Aventura, Ficção científica",17,,No,No,Concluído
"Django Livre ",5 de setembro de 2024 18:10,1987,10,Quentin Tarantino,"Ação, Faroeste",18,,No,No,Concluído
Dois Caras Legais,5 de setembro de 2024 18:17,2016,"7,4",,"Ação, Comédia",19,,No,No,Concluído
Donnie Brasco,5 de setembro de 2024 18:17,1997,,,"Crime, Thriller",20,,No,No,Não iniciada
Era Uma Vez em Hollywood,5 de setembro de 2024 18:17,2019,"8,3",Quentin Tarantino,"Comédia, Faroeste",21,,No,No,Concluído
Equilibrium,5 de setembro de 2024 18:17,2002,"9,1",,"Ação, Ficção científica",22,,No,No,Concluído
Exterminador Do Futuro,5 de setembro de 2024 18:17,1984,,,"Ação, Ficção científica",23,,No,No,Não iniciada
Falcão Negro em Perigo,5 de setembro de 2024 18:17,2001,,,"Ação, Guerra",24,,No,No,Não iniciada
Forrest Gump,5 de setembro de 2024 18:17,1994,6,,"Comédia, Romance",25,,No,No,Concluído
Feitiço do Tempo,5 de setembro de 2024 18:17,1993,,,"Comédia, Romance",26,,No,No,Não iniciada
Fragmentado,5 de setembro de 2024 18:17,2016,"8,1",Trilogia Corpo Fechado,"Mistério, Terror",27,,No,No,Concluído
Gênio Indomável,5 de setembro de 2024 18:17,1997,"9,3",,"Drama, Romance",28,,No,No,Concluído
Gladiador,5 de setembro de 2024 18:17,2000,"9,6",,"Aventura, Ação",29,,No,No,Concluído
Garota Exemplar,5 de setembro de 2024 18:17,2014,,,"Mistério, Thriller",30,,No,No,Não iniciada
Inception,5 de setembro de 2024 18:17,2010,"8,6",,"Ação, Ficção científica",31,,No,No,Concluído
Infiltrado,5 de setembro de 2024 18:17,2021,,,"Ação, Thriller",32,,No,No,Não iniciada
"Idiocracia ",5 de setembro de 2024 18:17,2006,,,"Comédia, Ficção científica",33,,No,No,Não iniciada
Ilha do Medo,5 de setembro de 2024 18:17,2010,"9,5",,"Mistério, Thriller",34,,No,No,Concluído
"Kill Bill ",5 de setembro de 2024 18:17,2003,"9,1",Quentin Tarantino,"Ação, Thriller",35,,No,No,Concluído
La La Land,5 de setembro de 2024 18:17,2016,"8,5",,"Musical, Romance",36,,No,No,Concluído
Logan,5 de setembro de 2024 18:17,2017,"9,1",,"Ação, Ficção científica",37,,No,No,Concluído
Mad Max,5 de setembro de 2024 18:17,1979,,,"Ação, Ficção científica",38,,No,No,Não iniciada
Melhor É Impossível,5 de setembro de 2024 18:20,1997,,,"Comédia, Romance",39,,No,No,Não iniciada
Nascido para Matar,5 de setembro de 2024 18:20,1987,"8,9",,"Ação, Guerra",40,,No,No,Concluído
Não Olhe para Cima,5 de setembro de 2024 18:20,2021,,,"Comédia, Ficção científica",41,,No,No,Não iniciada
O Show de Truman,5 de setembro de 2024 18:20,1998,9,,"Comédia, Ficção científica",42,,No,No,Concluído
O Dublê,5 de setembro de 2024 18:20,2024,,,"Ação, Comédia",43,1:00:00,No,No,Dropei
O Abutre,5 de setembro de 2024 18:20,2014,8,,"Crime, Thriller",44,,No,No,Concluído
O Grande Truque,5 de setembro de 2024 18:20,2006,,,"Ficção científica, Thriller",47,,No,Yes,Não iniciada
O Poderoso Chefão,5 de setembro de 2024 18:20,1972,"9,2",,"Ação, Crime",48,,No,No,Concluído
O Sexto Sentido,5 de setembro de 2024 18:20,1999,,,"Mistério, Terror",49,40:00,No,No,Dropei
Os Oito Odiados,5 de setembro de 2024 18:20,2015,"9,8",Quentin Tarantino,"Faroeste, Thriller",50,,No,No,Concluído
O Último Samurai,5 de setembro de 2024 18:20,2003,,,"Ação, Guerra",51,10:00,No,No,Dropei
Old Boy,5 de setembro de 2024 18:20,2003,,,"Ação, Thriller",52,,No,No,Não iniciada
Onde os Fracos Não Têm Vez,5 de setembro de 2024 18:20,2007,,,"Faroeste, Thriller",53,25:00,No,No,Dropei
Os 7 Samurais,5 de setembro de 2024 18:20,1954,,,"Aventura, Ação",54,,Yes,Yes,Não iniciada
Os Bons Companheiros,5 de setembro de 2024 18:20,1990,,,"Crime, Thriller",55,,Yes,Yes,Em andamento
Os Suspeitos,5 de setembro de 2024 18:20,2013,"9,2",,"Crime, Thriller",56,,No,No,Concluído
O Primeiro Amor,5 de setembro de 2024 18:20,2010,,,"Comédia, Romance",57,,No,No,Não iniciada
Platoon,5 de setembro de 2024 18:20,1986,,,"Ação, Guerra",58,,No,No,Não iniciada
Pulp Fiction: Tempo de Violência,5 de setembro de 2024 18:20,1994,"9,5",Quentin Tarantino,"Crime, Thriller",59,,No,No,Concluído
Rambo - Programado para Matar,5 de setembro de 2024 18:20,1982,,,"Ação, Thriller",60,,No,No,Não iniciada
RAN,5 de setembro de 2024 18:20,1985,,,"Ação, Guerra",61,1:45:00,Yes,Yes,Em andamento
Resgate do Soldado Ryan,5 de setembro de 2024 18:20,1998,,,"Ação, Guerra",62,,No,No,Não iniciada
Senhor dos Anéis: Duas torres,5 de setembro de 2024 18:20,2002,,Trilogia Senhor dos Anéis,"Aventura, Fantasia",63,44:00,Yes,Yes,Em andamento
Senhor dos Anéis: Retorno do Rei,5 de setembro de 2024 18:20,2003,,Trilogia Senhor dos Anéis,"Aventura, Fantasia",64,,Yes,Yes,Não iniciada
Se7en - Os Sete Crimes Capitais,5 de setembro de 2024 18:20,1995,"9,5",,"Crime, Terror",65,,No,No,Concluído
Soldado Anônimo,5 de setembro de 2024 18:20,2005,,,"Ação, Guerra",66,,No,No,Não iniciada
Sr. Ninguém,5 de setembro de 2024 18:20,2009,,,"Fantasia, Ficção científica",67,,No,No,Não iniciada
Silêncio dos Inocentes,5 de setembro de 2024 18:20,1991,,,"Crime, Terror",68,,No,No,Não iniciada
Touro Indomável,5 de setembro de 2024 18:20,1980,,,"Ação, Esporte",69,,No,No,Não iniciada
Tempo de Gloria,5 de setembro de 2024 18:20,1989,"9,5",,"Drama, Guerra",70,,No,No,Concluído
Três Homens em Conflito,5 de setembro de 2024 18:20,1966,,,"Ação, Faroeste",71,,No,No,Não iniciada
Um Estranho no Ninho,5 de setembro de 2024 18:20,1975,,,"Comédia, Drama",72,,No,No,Não iniciada
Vanilla Sky,5 de setembro de 2024 18:20,2001,,,"Ficção científica, Thriller",73,,No,No,Não iniciada
"Vidro ",5 de setembro de 2024 18:20,2019,"7,4",Trilogia Corpo Fechado,"Fantasia, Terror",74,,No,No,Concluído
Beleza Americana,5 de setembro de 2024 18:20,1999,"9,2",,"Comédia, Romance",75,,No,No,Concluído
Watchman,5 de setembro de 2024 18:31,2009,,,"Ação, Ficção científica",77,,No,No,Não iniciada
O Lobo de Wall Steet,6 de setembro de 2024 21:01,2013,,,"Comédia, Thriller",80,,No,No,Não iniciada
Sociedade dos Poetas Mortos,11 de setembro de 2024 20:27,1989,"8,9",,"Comédia, Drama",81,,No,No,Concluído
Namorados para Sempre,11 de setembro de 2024 22:10,2010,6,,"Drama, Romance",82,,No,No,Concluído
Sin City,13 de setembro de 2024 13:30,2005,,Quentin Tarantino,"Ação, Crime",83,,No,Yes,Não iniciada
Kill Bill 2,19 de setembro de 2024 17:53,2004,"8,5",Quentin Tarantino,"Ação, Thriller",84,,No,No,Concluído
Adoráveis Mulheres,19 de setembro de 2024 22:10,2019,"9,8",,"Drama, Romance",85,,No,No,Concluído
Diário de uma Paixão,20 de setembro de 2024 16:34,2004,"9,1",,"Drama, Romance",86,,No,No,Concluído
Um Sonho de Liberdade,21 de setembro de 2024 15:50,1994,,,"Drama, Thriller",87,,No,No,Não iniciada
Cidade de Deus,21 de setembro de 2024 15:57,2002,"8,7",,"Ação, Drama",89,,No,No,Concluído
Prenda-Me se for Capaz,21 de setembro de 2024 16:09,2002,9,,"Ação, Drama",90,,No,No,Concluído
Os Infiltrados,21 de setembro de 2024 16:10,2006,,,"Crime, Thriller",91,,Yes,Yes,Não iniciada
Donnie Darko,22 de setembro de 2024 07:05,2001,,,"Ficção científica, Thriller",93,,No,No,Não iniciada
O Túmulo dos Vagalumes,28 de setembro de 2024 17:56,1988,"9,8",Studio Ghibli,"Drama, Guerra",94,,No,No,Concluído
Laranja Mecânica,3 de outubro de 2024 09:49,1972,,,"Crime, Ficção científica",95,,No,No,Não iniciada
O Menino e a Garça,12 de outubro de 2024 19:26,2023,"9,2",Studio Ghibli,"Aventura, Fantasia",96,,No,No,Concluído
Encontro Marcado,20 de outubro de 2024 22:15,1998,,,"Drama, Romance",97,,No,No,Não iniciada
Amor a Toda Prova,15 de novembro de 2024 10:32,2011,,,"Drama, Romance",98,,No,No,Não iniciada
Meu Primeiro Amor,15 de novembro de 2024 10:34,1991,,,"Drama, Romance",99,31:00,No,No,Dropei
10 Coisas que Eu Odeio em Você,15 de novembro de 2024 13:42,1999,"8,1",,"Comédia, Romance",102,,No,No,Concluído
Por Lugares Incriveis,26 de novembro de 2024 13:44,2020,"7,5",,"Drama, Romance",103,,No,No,Concluído
Antes do Pôr do Sol,26 de novembro de 2024 13:45,2004,"8,5",Trilogia Antes,"Drama, Romance",104,,No,No,Concluído
Antes da Meia Noite,26 de novembro de 2024 13:46,2013,,Trilogia Antes,"Drama, Romance",105,,No,No,Não iniciada
Show de Vizinha,26 de novembro de 2024 13:48,2004,8,,"Comédia, Romance",106,,No,No,Concluído
Gladiador 2,4 de dezembro de 2024 10:30,2024,"8,5",,"Aventura, Ação",107,,No,No,Concluído
O Castelo Animado,4 de dezembro de 2024 18:19,2004,"9,7",Studio Ghibli,"Fantasia, Romance",108,,No,No,Concluído
Contos de Terramar,4 de dezembro de 2024 18:21,2006,"8,5",Studio Ghibli,"Fantasia, Romance",109,,No,No,Concluído
Porco Rosso,4 de dezembro de 2024 18:23,1992,"9,4",Studio Ghibli,"Fantasia, Guerra",110,,No,No,Concluído
